Plant Name,Soil Type,pH Level,Climate,Irrigation Type,Organic Matter %,Fertilizer Type
Tomato,Loamy,6.5,Tropical,Drip,2.5,NPK 20-20-20
Potato,Sandy,5.8,Temperate,Sprinkler,1.8,Urea
Carrot,Sandy Loam,6.0,Temperate,Drip,2.2,Compost
Cabbage,Loamy,6.2,Tropical,Flood,2.0,DAP
Onion,Sandy Loam,6.1,Arid,Drip,1.5,NPK 12-32-16
Spinach,Silty,6.8,Temperate,Sprinkler,3.0,Compost
Cucumber,Loamy,6.3,Humid,Drip,2.1,NPK 15-15-15
Chili,Sandy,6.5,Tropical,Drip,2.0,Urea
Peas,Clay,6.0,Temperate,Flood,2.7,Compost
Brinjal,Loamy,6.4,Tropical,Drip,1.9,NPK 10-26-26
Cauliflower,Loamy,6.5,Temperate,Sprinkler,2.4,DAP
Beetroot,Silty,6.3,Temperate,Drip,2.5,Compost
Radish,Sandy,5.9,Temperate,Sprinkler,2.0,Urea
Bitter Gourd,Loamy,6.4,Tropical,Drip,1.8,NPK 17-17-17
Bottle Gourd,Clay Loam,6.6,Tropical,Flood,2.2,Compost
Okra,Loamy,6.3,Tropical,Drip,2.3,NPK 20-20-20
Pumpkin,Sandy Loam,6.2,Humid,Flood,2.1,Urea
Sweet Corn,Loamy,6.5,Temperate,Sprinkler,2.0,DAP
Garlic,Sandy,6.0,Arid,Drip,1.7,NPK 12-32-16
Lettuce,Silty,6.8,Temperate,Sprinkler,2.9,Compost
Turnip,Sandy Loam,6.1,Temperate,Drip,2.2,Urea
Zucchini,Loamy,6.5,Temperate,Sprinkler,2.3,NPK 15-15-15
Green Beans,Loamy,6.0,Tropical,Drip,2.4,Compost
Mushroom,Compost Rich,6.5,Humid,None,4.0,Organic Mix
Yam,Clay,5.9,Tropical,Flood,1.9,Urea
Taro,Clay Loam,6.1,Humid,Flood,2.2,DAP
Bell Pepper,Loamy,6.4,Tropical,Drip,2.1,NPK 20-20-20
Celery,Silty,6.7,Temperate,Sprinkler,3.1,Compost
Leek,Sandy Loam,6.0,Temperate,Drip,2.3,Urea
Parsley,Loamy,6.3,Temperate,Sprinkler,2.5,Compost
Mango,Loamy,6.5,Tropical,Drip,2.5,NPK 10-26-26
Banana,Alluvial,6.8,Humid,Flood,3.0,NPK 19-19-19
Apple,Loamy,6.2,Temperate,Drip,2.0,DAP
Guava,Sandy Loam,6.4,Tropical,Drip,2.3,Urea
Pineapple,Sandy,5.5,Tropical,Drip,2.1,NPK 12-32-16
Papaya,Loamy,6.7,Tropical,Drip,2.5,NPK 15-15-15
Orange,Sandy Loam,6.0,Temperate,Drip,2.4,NPK 20-20-20
Lemon,Loamy,6.1,Tropical,Drip,2.0,Urea
Grapes,Clay Loam,6.3,Temperate,Drip,2.2,DAP
Pomegranate,Sandy,6.5,Arid,Drip,1.8,NPK 17-17-17
